year,round,race_date,race_name,circuit,circuit_id,has_sprint,driver,driver_full_name,driver_code,driver_id,driver_number,driver_nationality,constructor,constructor_id,constructor_nationality,grid_position,quali_position,quali_time,final_position,points,laps,status,race_time,fastest_lap_time,fastest_lap_rank,position_change,quali_to_race_change,scored_points,finished
2023,1,2023-01-01,Bahrain Grand Prix,Bahrain Circuit,bahrain,False,Magnussen,Name Magnussen,MAG,magnussen,20,International,Haas F1 Team,haasf1team,International,19,19,1:31.900,11,0,57,Finished,6.500,1:32.859,4,8,8,False,True
2023,1,2023-01-01,Bahrain Grand Prix,Bahrain Circuit,bahrain,False,de Vries,Name de Vries,DEV,devries,21,International,AlphaTauri,alphatauri,International,14,14,1:31.400,12,0,57,Finished,7.000,1:32.651,17,2,2,False,True
2023,1,2023-01-01,Bahrain Grand Prix,Bahrain Circuit,bahrain,False,Hulkenberg,Name Hulkenberg,HUL,hulkenberg,27,International,Haas F1 Team,haasf1team,International,17,17,1:31.700,13,0,57,Finished,7.500,1:33.436,6,4,4,False,True
2023,1,2023-01-01,Bahrain Grand Prix,Bahrain Circuit,bahrain,False,Tsunoda,Name Tsunoda,TSU,tsunoda,22,International,AlphaTauri,alphatauri,International,13,13,1:31.300,14,0,57,Finished,8.000,1:33.711,12,-1,-1,False,True
2023,1,2023-01-01,Bahrain Grand Prix,Bahrain Circuit,bahrain,False,Sargeant,Name Sargeant,SAR,sargeant,2,International,Williams,williams,International,20,20,1:32.000,15,0,57,Finished,8.500,1:33.035,4,5,5,False,True
2023,1,2023-01-01,Bahrain Grand Prix,Bahrain Circuit,bahrain,False,Leclerc,Name Leclerc,LEC,leclerc,16,International,Ferrari,ferrari,International,3,3,1:30.300,99,0,29,Hydraulics,N/A,1:33.477,N/A,-96,-96,False,False
2023,1,2023-01-01,Bahrain Grand Prix,Bahrain Circuit,bahrain,False,Alonso,Name Alonso,ALO,alonso,14,International,Aston Martin,astonmartin,International,6,6,1:30.600,99,0,22,Engine,N/A,1:32.166,N/A,-93,-93,False,False
2023,1,2023-01-01,Bahrain Grand Prix,Bahrain Circuit,bahrain,False,Norris,Name Norris,NOR,norris,4,International,McLaren,mclaren,International,10,10,1:31.000,99,0,42,Engine,N/A,1:32.108,N/A,-89,-89,False,False
2023,1,2023-01-01,Bahrain Grand Prix,Bahrain Circuit,bahrain,False,Zhou,Name Zhou,ZHO,zhou,24,International,Alfa Romeo,alfaromeo,International,12,12,1:31.200,99,0,43,Gearbox,N/A,1:33.195,N/A,-87,-87,False,False
2023,1,2023-01-01,Bahrain Grand Prix,Bahrain Circuit,bahrain,False,Bottas,Name Bottas,BOT,bottas,77,International,Alfa Romeo,alfaromeo,International,18,18,1:31.800,99,0,27,Gearbox,N/A,1:32.326,N/A,-81,-81,False,False
2023,2,2023-02-01,Saudi Arabian Grand Prix,Saudi Arabian Circuit,jeddah,False,Verstappen,Name Verstappen,VER,verstappen,1,International,Red Bull,redbull,International,2,2,1:30.200,1,25,57,Finished,1.500,1:33.608,13,1,1,True,True
2023,2,2023-02-01,Saudi Arabian Grand Prix,Saudi Arabian Circuit,jeddah,False,Perez,Name Perez,PER,perez,11,International,Red Bull,redbull,International,1,1,1:30.100,2,18,57,Finished,2.000,1:33.969,5,-1,-1,True,True
2023,2,2023-02-01,Saudi Arabian Grand Prix,Saudi Arabian Circuit,jeddah,False,Stroll,Name Stroll,STR,stroll,18,International,Aston Martin,astonmartin,International,4,4,1:30.400,3,15,57,Finished,2.500,1:33.813,18,1,1,True,True
2023,2,2023-02-01,Saudi Arabian Grand Prix,Saudi Arabian Circuit,jeddah,False,Sainz,Name Sainz,SAI,sainz,55,International,Ferrari,ferrari,International,3,3,1:30.300,4,12,57,Finished,3.000,1:32.479,8,-1,-1,True,True
2023,2,2023-02-01,Saudi Arabian Grand Prix,Saudi Arabian Circuit,jeddah,False,Hamilton,Name Hamilton,HAM,hamilton,44,International,Mercedes,mercedes,International,5,5,1:30.500,5,10,57,Finished,3.500,1:33.283,16,0,0,True,True
2023,2,2023-02-01,Saudi Arabian Grand Prix,Saudi Arabian Circuit,jeddah,False,Leclerc,Name Leclerc,LEC,leclerc,16,International,Ferrari,ferrari,International,7,7,1:30.700,6,8,57,Finished,4.000,1:32.121,4,1,1,True,True
2023,2,2023-02-01,Saudi Arabian Grand Prix,Saudi Arabian Circuit,jeddah,False,Alonso,Name Alonso,ALO,alonso,14,International,Aston Martin,astonmartin,International,6,6,1:30.600,7,6,57,Finished,4.500,1:32.246,5,-1,-1,True,True
2023,2,2023-02-01,Saudi Arabian Grand Prix,Saudi Arabian Circuit,jeddah,False,Ocon,Name Ocon,OCO,ocon,31,International,Alpine F1 Team,alpinef1team,International,10,10,1:31.000,8,4,57,Finished,5.000,1:33.526,19,2,2,True,True
2023,2,2023-02-01,Saudi Arabian Grand Prix,Saudi Arabian Circuit,jeddah,False,Piastri,Name Piastri,PIA,piastri,81,International,McLaren,mclaren,International,15,15,1:31.500,9,2,57,Finished,5.500,1:32.918,19,6,6,True,True
2023,2,2023-02-01,Saudi Arabian Grand Prix,Saudi Arabian Circuit,jeddah,False,Russell,Name Russell,RUS,russell,63,International,Mercedes,mercedes,International,11,11,1:31.100,10,1,57,Finished,6.000,1:32.040,14,1,1,True,True
2023,2,2023-02-01,Saudi Arabian Grand Prix,Saudi Arabian Circuit,jeddah,False,Gasly,Name Gasly,GAS,gasly,10,International,Alpine F1 Team,alpinef1team,International,8,8,1:30.800,11,0,57,Finished,6.500,1:33.924,3,-3,-3,False,True
2023,2,2023-02-01,Saudi Arabian Grand Prix,Saudi Arabian Circuit,jeddah,False,Zhou,Name Zhou,ZHO,zhou,24,International,Alfa Romeo,alfaromeo,International,9,9,1:30.900,12,0,57,Finished,7.000,1:33.454,6,-3,-3,False,True
2023,2,2023-02-01,Saudi Arabian Grand Prix,Saudi Arabian Circuit,jeddah,False,Albon,Name Albon,ALB,albon,23,International,Williams,williams,International,19,19,1:31.900,13,0,57,Finished,7.500,1:32.453,20,6,6,False,True
2023,2,2023-02-01,Saudi Arabian Grand Prix,Saudi Arabian Circuit,jeddah,False,de Vries,Name de Vries,DEV,devries,21,International,AlphaTauri,alphatauri,International,14,14,1:31.400,14,0,57,Finished,8.000,1:33.618,17,0,0,False,True
2023,2,2023-02-01,Saudi Arabian Grand Prix,Saudi Arabian Circuit,jeddah,False,Norris,Name Norris,NOR,norris,4,International,McLaren,mclaren,International,12,12,1:31.200,15,0,57,Finished,8.500,1:33.708,9,-3,-3,False,True
2023,2,2023-02-01,Saudi Arabian Grand Prix,Saudi Arabian Circuit,jeddah,False,Magnussen,Name Magnussen,MAG,magnussen,20,International,Haas F1 Team,haasf1team,International,18,18,1:31.800,16,0,57,Finished,9.000,1:33.889,5,2,2,False,True
2023,2,2023-02-01,Saudi Arabian Grand Prix,Saudi Arabian Circuit,jeddah,False,Hulkenberg,Name Hulkenberg,HUL,hulkenberg,27,International,Haas F1 Team,haasf1team,International,16,16,1:31.600,17,0,57,Finished,9.500,1:32.780,15,-1,-1,False,True
2023,2,2023-02-01,Saudi Arabian Grand Prix,Saudi Arabian Circuit,jeddah,False,Bottas,Name Bottas,BOT,bottas,77,International,Alfa Romeo,alfaromeo,International,20,20,1:32.000,18,0,57,Finished,10.000,1:33.947,4,2,2,False,True
2023,2,2023-02-01,Saudi Arabian Grand Prix,Saudi Arabian Circuit,jeddah,False,Tsunoda,Name Tsunoda,TSU,tsunoda,22,International,AlphaTauri,alphatauri,International,13,13,1:31.300,99,0,49,Collision,N/A,1:32.557,N/A,-86,-86,False,False
2023,2,2023-02-01,Saudi Arabian Grand Prix,Saudi Arabian Circuit,jeddah,False,Sargeant,Name Sargeant,SAR,sargeant,2,International,Williams,williams,International,17,17,1:31.700,99,0,26,Collision,N/A,1:33.199,N/A,-82,-82,False,False
2023,3,2023-03-01,Australian Grand Prix,Australian Circuit,albert_park,True,Stroll,Name Stroll,STR,stroll,18,International,Aston Martin,astonmartin,International,3,3,1:30.300,1,25,57,Finished,1.500,1:33.951,11,2,2,True,True
2023,3,2023-03-01,Australian Grand Prix,Australian Circuit,albert_park,True,Perez,Name Perez,PER,perez,11,International,Red Bull,redbull,International,2,2,1:30.200,2,18,57,Finished,2.000,1:32.191,17,0,0,True,True
2023,3,2023-03-01,Australian Grand Prix,Australian Circuit,albert_park,True,Verstappen,Name Verstappen,VER,verstappen,1,International,Red Bull,redbull,International,1,1,1:30.100,3,15,57,Finished,2.500,1:32.421,14,-2,-2,True,True
2023,3,2023-03-01,Australian Grand Prix,Australian Circuit,albert_park,True,Gasly,Name Gasly,GAS,gasly,10,International,Alpine F1 Team,alpinef1team,International,9,9,1:30.900,4,12,57,Finished,3.000,1:32.824,10,5,5,True,True
2023,3,2023-03-01,Australian Grand Prix,Australian Circuit,albert_park,True,Piastri,Name Piastri,PIA,piastri,81,International,McLaren,mclaren,International,4,4,1:30.400,5,10,57,Finished,3.500,1:32.173,3,-1,-1,True,True
2023,3,2023-03-01,Australian Grand Prix,Australian Circuit,albert_park,True,Sainz,Name Sainz,SAI,sainz,55,International,Ferrari,ferrari,International,15,15,1:31.500,6,8,57,Finished,4.000,1:33.603,9,9,9,True,True
2023,3,2023-03-01,Australian Grand Prix,Australian Circuit,albert_park,True,Alonso,Name Alonso,ALO,alonso,14,International,Aston Martin,astonmartin,International,11,11,1:31.100,7,6,57,Finished,4.500,1:32.654,9,4,4,True,True
2023,3,2023-03-01,Australian Grand Prix,Australian Circuit,albert_park,True,Russell,Name Russell,RUS,russell,63,International,Mercedes,mercedes,International,5,5,1:30.500,8,4,57,Finished,5.000,1:32.730,5,-3,-3,True,True
2023,3,2023-03-01,Australian Grand Prix,Australian Circuit,albert_park,True,Ocon,Name Ocon,OCO,ocon,31,International,Alpine F1 Team,alpinef1team,International,18,18,1:31.800,9,2,57,Finished,5.500,1:33.972,13,9,9,True,True
2023,3,2023-03-01,Australian Grand Prix,Australian Circuit,albert_park,True,de Vries,Name de Vries,DEV,devries,21,International,AlphaTauri,alphatauri,International,10,10,1:31.000,10,1,57,Finished,6.000,1:32.736,20,0,0,True,True
2023,3,2023-03-01,Australian Grand Prix,Australian Circuit,albert_park,True,Hamilton,Name Hamilton,HAM,hamilton,44,International,Mercedes,mercedes,International,17,17,1:31.700,11,0,57,Finished,6.500,1:32.684,15,6,6,False,True
2023,3,2023-03-01,Australian Grand Prix,Australian Circuit,albert_park,True,Leclerc,Name Leclerc,LEC,leclerc,16,International,Ferrari,ferrari,International,12,12,1:31.200,12,0,57,Finished,7.000,1:33.421,19,0,0,False,True
2023,3,2023-03-01,Australian Grand Prix,Australian Circuit,albert_park,True,Albon,Name Albon,ALB,albon,23,International,Williams,williams,International,13,13,1:31.300,13,0,57,Finished,7.500,1:33.421,20,0,0,False,True
2023,3,2023-03-01,Australian Grand Prix,Australian Circuit,albert_park,True,Hulkenberg,Name Hulkenberg,HUL,hulkenberg,27,International,Haas F1 Team,haasf1team,International,16,16,1:31.600,14,0,57,Finished,8.000,1:33.683,20,2,2,False,True
2023,3,2023-03-01,Australian Grand Prix,Australian Circuit,albert_park,True,Sargeant,Name Sargeant,SAR,sargeant,2,International,Williams,williams,International,8,8,1:30.800,15,0,57,Finished,8.500,1:32.213,6,-7,-7,False,True
2023,3,2023-03-01,Australian Grand Prix,Australian Circuit,albert_park,True,Zhou,Name Zhou,ZHO,zhou,24,International,Alfa Romeo,alfaromeo,International,7,7,1:30.700,16,0,57,Finished,9.000,1:33.976,1,-9,-9,False,True
2023,3,2023-03-01,Australian Grand Prix,Australian Circuit,albert_park,True,Tsunoda,Name Tsunoda,TSU,tsunoda,22,International,AlphaTauri,alphatauri,International,19,19,1:31.900,17,0,57,Finished,9.500,1:32.693,15,2,2,False,True
2023,3,2023-03-01,Australian Grand Prix,Australian Circuit,albert_park,True,Bottas,Name Bottas,BOT,bottas,77,International,Alfa Romeo,alfaromeo,International,20,20,1:32.000,18,0,57,Finished,10.000,1:32.615,9,2,2,False,True
2023,3,2023-03-01,Australian Grand Prix,Australian Circuit,albert_park,True,Magnussen,Name Magnussen,MAG,magnussen,20,International,Haas F1 Team,haasf1team,International,14,14,1:31.400,19,0,57,Finished,10.500,1:33.730,18,-5,-5,False,True
2023,3,2023-03-01,Australian Grand Prix,Australian Circuit,albert_park,True,Norris,Name Norris,NOR,norris,4,International,McLaren,mclaren,International,6,6,1:30.600,99,0,31,Engine,N/A,1:33.696,N/A,-93,-93,False,False
2023,4,2023-04-01,Japanese Grand Prix,Japanese Circuit,suzuka,False,Perez,Name Perez,PER,perez,11,International,Red Bull,redbull,International,1,1,1:30.100,1,25,57,Finished,1.500,1:32.817,10,0,0,True,True
2023,4,2023-04-01,Japanese Grand Prix,Japanese Circuit,suzuka,False,Verstappen,Name Verstappen,VER,verstappen,1,International,Red Bull,redbull,International,2,2,1:30.200,2,18,57,Finished,2.000,1:33.372,2,0,0,True,True
2023,4,2023-04-01,Japanese Grand Prix,Japanese Circuit,suzuka,False,Alonso,Name Alonso,ALO,alonso,14,International,Aston Martin,astonmartin,International,12,12,1:31.200,3,15,57,Finished,2.500,1:32.470,16,9,9,True,True
2023,4,2023-04-01,Japanese Grand Prix,Japanese Circuit,suzuka,False,Russell,Name Russell,RUS,russell,63,International,Mercedes,mercedes,International,3,3,1:30.300,4,12,57,Finished,3.000,1:33.702,12,-1,-1,True,True
2023,4,2023-04-01,Japanese Grand Prix,Japanese Circuit,suzuka,False,Leclerc,Name Leclerc,LEC,leclerc,16,International,Ferrari,ferrari,International,13,13,1:31.300,5,10,57,Finished,3.500,1:32.569,16,8,8,True,True
2023,4,2023-04-01,Japanese Grand Prix,Japanese Circuit,suzuka,False,Magnussen,Name Magnussen,MAG,magnussen,20,International,Haas F1 Team,haasf1team,International,6,6,1:30.600,6,8,57,Finished,4.000,1:32.759,16,0,0,True,True
2023,4,2023-04-01,Japanese Grand Prix,Japanese Circuit,suzuka,False,Hamilton,Name Hamilton,HAM,hamilton,44,International,Mercedes,mercedes,International,5,5,1:30.500,7,6,57,Finished,4.500,1:33.390,17,-2,-2,True,True
2023,4,2023-04-01,Japanese Grand Prix,Japanese Circuit,suzuka,False,Stroll,Name Stroll,STR,stroll,18,International,Aston Martin,astonmartin,International,4,4,1:30.400,8,4,57,Finished,5.000,1:33.997,1,-4,-4,True,True
2023,4,2023-04-01,Japanese Grand Prix,Japanese Circuit,suzuka,False,Gasly,Name Gasly,GAS,gasly,10,International,Alpine F1 Team,alpinef1team,International,10,10,1:31.000,9,2,57,Finished,5.500,1:33.170,1,1,1,True,True
2023,4,2023-04-01,Japanese Grand Prix,Japanese Circuit,suzuka,False,Norris,Name Norris,NOR,norris,4,International,McLaren,mclaren,International,16,16,1:31.600,10,1,57,Finished,6.000,1:33.207,9,6,6,True,True
2023,4,2023-04-01,Japanese Grand Prix,Japanese Circuit,suzuka,False,Tsunoda,Name Tsunoda,TSU,tsunoda,22,International,AlphaTauri,alphatauri,International,11,11,1:31.100,11,0,57,Finished,6.500,1:33.509,5,0,0,False,True
2023,4,2023-04-01,Japanese Grand Prix,Japanese Circuit,suzuka,False,Ocon,Name Ocon,OCO,ocon,31,International,Alpine F1 Team,alpinef1team,International,18,18,1:31.800,12,0,57,Finished,7.000,1:33.104,15,6,6,False,True
2023,4,2023-04-01,Japanese Grand Prix,Japanese Circuit,suzuka,False,Bottas,Name Bottas,BOT,bottas,77,International,Alfa Romeo,alfaromeo,International,7,7,1:30.700,13,0,57,Finished,7.500,1:33.903,14,-6,-6,False,True
2023,4,2023-04-01,Japanese Grand Prix,Japanese Circuit,suzuka,False,Zhou,Name Zhou,ZHO,zhou,24,International,Alfa Romeo,alfaromeo,International,20,20,1:32.000,14,0,57,Finished,8.000,1:32.871,10,6,6,False,True
2023,4,2023-04-01,Japanese Grand Prix,Japanese Circuit,suzuka,False,Sargeant,Name Sargeant,SAR,sargeant,2,International,Williams,williams,International,9,9,1:30.900,15,0,57,Finished,8.500,1:32.743,19,-6,-6,False,True
2023,4,2023-04-01,Japanese Grand Prix,Japanese Circuit,suzuka,False,Hulkenberg,Name Hulkenberg,HUL,hulkenberg,27,International,Haas F1 Team,haasf1team,International,17,17,1:31.700,16,0,57,Finished,9.000,1:33.799,16,1,1,False,True
2023,4,2023-04-01,Japanese Grand Prix,Japanese Circuit,suzuka,False,de Vries,Name de Vries,DEV,devries,21,International,AlphaTauri,alphatauri,International,15,15,1:31.500,17,0,57,Finished,9.500,1:33.523,5,-2,-2,False,True
2023,4,2023-04-01,Japanese Grand Prix,Japanese Circuit,suzuka,False,Albon,Name Albon,ALB,albon,23,International,Williams,williams,International,19,19,1:31.900,18,0,57,Finished,10.000,1:32.374,3,1,1,False,True
2023,4,2023-04-01,Japanese Grand Prix,Japanese Circuit,suzuka,False,Piastri,Name Piastri,PIA,piastri,81,International,McLaren,mclaren,International,8,8,1:30.800,99,0,46,Gearbox,N/A,1:33.525,N/A,-91,-91,False,False
2023,4,2023-04-01,Japanese Grand Prix,Japanese Circuit,suzuka,False,Sainz,Name Sainz,SAI,sainz,55,International,Ferrari,ferrari,International,14,14,1:31.400,99,0,29,Collision,N/A,1:33.394,N/A,-85,-85,False,False
2023,5,2023-05-01,Chinese Grand Prix,Chinese Circuit,shanghai,False,Verstappen,Name Verstappen,VER,verstappen,1,International,Red Bull,redbull,International,4,4,1:30.400,1,25,57,Finished,1.500,1:33.502,8,3,3,True,True
2023,5,2023-05-01,Chinese Grand Prix,Chinese Circuit,shanghai,False,Perez,Name Perez,PER,perez,11,International,Red Bull,redbull,International,1,1,1:30.100,2,18,57,Finished,2.000,1:32.064,4,-1,-1,True,True
2023,5,2023-05-01,Chinese Grand Prix,Chinese Circuit,shanghai,False,Leclerc,Name Leclerc,LEC,leclerc,16,International,Ferrari,ferrari,International,2,2,1:30.200,3,15,57,Finished,2.500,1:33.291,5,-1,-1,True,True
2023,5,2023-05-01,Chinese Grand Prix,Chinese Circuit,shanghai,False,Gasly,Name Gasly,GAS,gasly,10,International,Alpine F1 Team,alpinef1team,International,5,5,1:30.500,4,12,57,Finished,3.000,1:32.087,14,1,1,True,True
2023,5,2023-05-01,Chinese Grand Prix,Chinese Circuit,shanghai,False,Russell,Name Russell,RUS,russell,63,International,Mercedes,mercedes,International,3,3,1:30.300,5,10,57,Finished,3.500,1:32.819,20,-2,-2,True,True
2023,5,2023-05-01,Chinese Grand Prix,Chinese Circuit,shanghai,False,Stroll,Name Stroll,STR,stroll,18,International,Aston Martin,astonmartin,International,7,7,1:30.700,6,8,57,Finished,4.000,1:32.085,9,1,1,True,True
2023,5,2023-05-01,Chinese Grand Prix,Chinese Circuit,shanghai,False,Hamilton,Name Hamilton,HAM,hamilton,44,International,Mercedes,mercedes,International,6,6,1:30.600,7,6,57,Finished,4.500,1:32.581,5,-1,-1,True,True
2023,5,2023-05-01,Chinese Grand Prix,Chinese Circuit,shanghai,False,Ocon,Name Ocon,OCO,ocon,31,International,Alpine F1 Team,alpinef1team,International,8,8,1:30.800,8,4,57,Finished,5.000,1:32.019,19,0,0,True,True
2023,5,2023-05-01,Chinese Grand Prix,Chinese Circuit,shanghai,False,Alonso,Name Alonso,ALO,alonso,14,International,Aston Martin,astonmartin,International,9,9,1:30.900,9,2,57,Finished,5.500,1:32.593,16,0,0,True,True
2023,5,2023-05-01,Chinese Grand Prix,Chinese Circuit,shanghai,False,de Vries,Name de Vries,DEV,devries,21,International,AlphaTauri,alphatauri,International,11,11,1:31.100,10,1,57,Finished,6.000,1:32.858,1,1,1,True,True
2023,5,2023-05-01,Chinese Grand Prix,Chinese Circuit,shanghai,False,Piastri,Name Piastri,PIA,piastri,81,International,McLaren,mclaren,International,12,12,1:31.200,11,0,57,Finished,6.500,1:33.778,20,1,1,False,True
2023,5,2023-05-01,Chinese Grand Prix,Chinese Circuit,shanghai,False,Sargeant,Name Sargeant,SAR,sargeant,2,International,Williams,williams,International,15,15,1:31.500,12,0,57,Finished,7.000,1:32.478,9,3,3,False,True
2023,5,2023-05-01,Chinese Grand Prix,Chinese Circuit,shanghai,False,Tsunoda,Name Tsunoda,TSU,tsunoda,22,International,AlphaTauri,alphatauri,International,13,13,1:31.300,13,0,57,Finished,7.500,1:32.300,14,0,0,False,True
2023,5,2023-05-01,Chinese Grand Prix,Chinese Circuit,shanghai,False,Norris,Name Norris,NOR,norris,4,International,McLaren,mclaren,International,14,14,1:31.400,14,0,57,Finished,8.000,1:33.711,15,0,0,False,True
2023,5,2023-05-01,Chinese Grand Prix,Chinese Circuit,shanghai,False,Bottas,Name Bottas,BOT,bottas,77,International,Alfa Romeo,alfaromeo,International,16,16,1:31.600,15,0,57,Finished,8.500,1:33.815,8,1,1,False,True
2023,5,2023-05-01,Chinese Grand Prix,Chinese Circuit,shanghai,False,Sainz,Name Sainz,SAI,sainz,55,International,Ferrari,ferrari,International,10,10,1:31.000,16,0,57,Finished,9.000,1:32.114,11,-6,-6,False,True
2023,5,2023-05-01,Chinese Grand Prix,Chinese Circuit,shanghai,False,Albon,Name Albon,ALB,albon,23,International,Williams,williams,International,20,20,1:32.000,17,0,57,Finished,9.500,1:32.505,1,3,3,False,True
2023,5,2023-05-01,Chinese Grand Prix,Chinese Circuit,shanghai,False,Zhou,Name Zhou,ZHO,zhou,24,International,Alfa Romeo,alfaromeo,International,17,17,1:31.700,99,0,35,Engine,N/A,1:33.948,N/A,-82,-82,False,False
2023,5,2023-05-01,Chinese Grand Prix,Chinese Circuit,shanghai,False,Magnussen,Name Magnussen,MAG,magnussen,20,International,Haas F1 Team,haasf1team,International,18,18,1:31.800,99,0,45,Gearbox,N/A,1:32.548,N/A,-81,-81,False,False
2023,5,2023-05-01,Chinese Grand Prix,Chinese Circuit,shanghai,False,Hulkenberg,Name Hulkenberg,HUL,hulkenberg,27,International,Haas F1 Team,haasf1team,International,19,19,1:31.900,99,0,47,Engine,N/A,1:32.837,N/A,-80,-80,False,False
2023,6,2023-06-01,Miami Grand Prix,Miami Circuit,miami,True,Russell,Name Russell,RUS,russell,63,International,Mercedes,mercedes,International,1,1,1:30.100,1,25,57,Finished,1.500,1:33.203,18,0,0,True,True
2023,6,2023-06-01,Miami Grand Prix,Miami Circuit,miami,True,Piastri,Name Piastri,PIA,piastri,81,International,McLaren,mclaren,International,3,3,1:30.300,2,18,57,Finished,2.000,1:32.890,14,1,1,True,True
2023,6,2023-06-01,Miami Grand Prix,Miami Circuit,miami,True,Verstappen,Name Verstappen,VER,verstappen,1,International,Red Bull,redbull,International,2,2,1:30.200,3,15,57,Finished,2.500,1:33.002,17,-1,-1,True,True
2023,6,2023-06-01,Miami Grand Prix,Miami Circuit,miami,True,Alonso,Name Alonso,ALO,alonso,14,International,Aston Martin,astonmartin,International,4,4,1:30.400,4,12,57,Finished,3.000,1:32.497,16,0,0,True,True
2023,6,2023-06-01,Miami Grand Prix,Miami Circuit,miami,True,Tsunoda,Name Tsunoda,TSU,tsunoda,22,International,AlphaTauri,alphatauri,International,5,5,1:30.500,5,10,57,Finished,3.500,1:33.870,18,0,0,True,True
2023,6,2023-06-01,Miami Grand Prix,Miami Circuit,miami,True,Bottas,Name Bottas,BOT,bottas,77,International,Alfa Romeo,alfaromeo,International,9,9,1:30.900,6,8,57,Finished,4.000,1:32.783,18,3,3,True,True
2023,6,2023-06-01,Miami Grand Prix,Miami Circuit,miami,True,Perez,Name Perez,PER,perez,11,International,Red Bull,redbull,International,6,6,1:30.600,7,6,57,Finished,4.500,1:33.547,4,-1,-1,True,True
2023,6,2023-06-01,Miami Grand Prix,Miami Circuit,miami,True,Norris,Name Norris,NOR,norris,4,International,McLaren,mclaren,International,15,15,1:31.500,8,4,57,Finished,5.000,1:32.146,16,7,7,True,True
2023,6,2023-06-01,Miami Grand Prix,Miami Circuit,miami,True,Stroll,Name Stroll,STR,stroll,18,International,Aston Martin,astonmartin,International,7,7,1:30.700,9,2,57,Finished,5.500,1:32.672,10,-2,-2,True,True
2023,6,2023-06-01,Miami Grand Prix,Miami Circuit,miami,True,Ocon,Name Ocon,OCO,ocon,31,International,Alpine F1 Team,alpinef1team,International,8,8,1:30.800,10,1,57,Finished,6.000,1:33.241,1,-2,-2,True,True
2023,6,2023-06-01,Miami Grand Prix,Miami Circuit,miami,True,de Vries,Name de Vries,DEV,devries,21,International,AlphaTauri,alphatauri,International,16,16,1:31.600,11,0,57,Finished,6.500,1:32.095,8,5,5,False,True
2023,6,2023-06-01,Miami Grand Prix,Miami Circuit,miami,True,Zhou,Name Zhou,ZHO,zhou,24,International,Alfa Romeo,alfaromeo,International,13,13,1:31.300,12,0,57,Finished,7.000,1:33.529,17,1,1,False,True
2023,6,2023-06-01,Miami Grand Prix,Miami Circuit,miami,True,Sainz,Name Sainz,SAI,sainz,55,International,Ferrari,ferrari,International,14,14,1:31.400,13,0,57,Finished,7.500,1:33.627,8,1,1,False,True
2023,6,2023-06-01,Miami Grand Prix,Miami Circuit,miami,True,Magnussen,Name Magnussen,MAG,magnussen,20,International,Haas F1 Team,haasf1team,International,11,11,1:31.100,14,0,57,Finished,8.000,1:33.810,3,-3,-3,False,True
